PC 1,PC 2,PC 3,Ratio,Cluster
-4.379689710312349,1.202287732510562,-1.1162704987027785,RPS9 ,3
2.6776276463868944,0.8276578534115944,-0.3794473570591414,LDHB ,1
4.019386837896331,1.0075296037062722,-0.36176368366979933,PTBP1 ,1
2.0654665794670666,0.6907974773586469,-0.4269314180059432,ACTR2 ,1
3.6549391666472273,0.5228199260845812,-0.4807293330064827,CKMT1A ,1
-0.6645832971869242,0.9433072658590411,-0.7850889385813667,CDC37 ,5
2.1923271514186116,0.5814998378587751,-0.5230430786799729,FKBP1A ,1
2.9407904123681767,0.9360775960609198,-0.28642143210183807,EHD1 ,1
-2.4974058155364274,0.30266959882146877,-0.8362925554229398,COX7A2 ,3
8.294527718268842,1.3970419195836568,1.2770900777497318,CPNE3,4
-1.1042443183731636,0.5819269048466368,-0.7812538833064556,AK1 ,5
-0.15077348287864176,0.8857764370183596,-0.799884037990182,EFTUD2 ,5
3.779582632077869,0.28954707108961725,-0.7124651738713516,HADHB ,1
7.18775358602437,-0.297717126634208,-1.0575956844056562,ACTN2 ,4
2.440868972475215,0.6364790970601918,-0.899971072856061,PSMA4 ,1
2.7089686239254456,0.41916209004468086,-0.8031604018312748,SOWAHA ,1
2.7730030731923145,1.2604913280885008,-0.46549420528808616,FUBP3 ,1
4.462840733215098,0.35569811261404066,-1.2108385570952207,CAND1 ,1
2.49069134515428,1.2059150103210496,-0.18631948017584857,YARS1 ,1
3.703325541789112,0.26166828219764815,-0.9480978229568859,PSMB6 ,1
-3.2904881484697497,0.14048337537962755,-0.6167453194135584,ATP1A2 ,3
-2.7398214626533455,1.850204201485223,-1.0196917927551914,KRT81 ,3
5.709211585370151,1.060773781925418,-1.5462460560265758,PRPS1 ,1
3.665234531883978,0.8403757226790575,0.5023531836368073,DDOST ,1
2.1759608158506833,0.7409028298536526,-0.05509904196934607,HYOU1 ,1
-4.549795425428689,-0.5677842085671793,-0.2816901511447494,DNM3 ,3
2.9034095231455885,0.8371343188300215,-0.2762677470846373,NAALAD2 ,1
2.806956534749597,0.4266762683662416,-0.9875928073424782,SND1 ,1
2.311739920389159,0.7891201747675368,-0.7412263470667798,SNX6 ,1
-1.830862353259456,0.33219409758229507,-1.0444753631795922,VWA3A ,3
-2.695787116681551,-0.13572775332784648,-0.6111131881060792,PYGB ,3
1.8591584496580305,0.7308111585679441,-0.5664278063484741,ARCN1 ,1
2.6647711423823615,0.9036995978206772,-1.0751179137312519,CLNS1A ,1
3.7583500380874666,0.11316219858033436,-0.5758114267944685,DYNC1LI2 ,1
3.8030556446690227,1.6792681635814393,-0.4830478903502024,RPA3 ,1
2.8802669664210936,0.28740623178830604,-0.9810426727125946,NONO ,1
2.2163970679312155,0.22708107930692475,-0.4535102536978292,DPYSL2 ,1
-1.9925437185349613,1.2794458590140718,-0.49167972098286655,RPS4X ,5
-1.0127020654638257,0.7524711569129233,-0.6191450451062888,EIF5B ,5
-1.3694194562236641,0.536261501675205,-0.4009997321299449,OSTF1 ,5
3.4038270830863153,1.1563893730205228,0.5167785230386915,SERPINA2 ,1
-2.2812033296730148,0.1051462628395227,-0.6546809886998588,COPB2 ,3
2.7174306951084777,0.9412918086355043,-0.6063232247008203,ARRDC3 ,1
-6.70864318053716,-1.17342367385259,-2.37780548496944,RPS21 ,3
-1.5552987083156724,0.8814876165254578,-0.4116437990245536,DHX15 ,5
12.040365580371011,-2.2913887981531094,0.326061001659615,PSMC6 ,4
-1.9603486798520204,0.20185771283252182,-0.5075510983236005,PNP ,3
-1.372536101788792,0.8889644130979325,-0.10327533124104914,VPS26A ,5
-3.460619276909069,1.072402542850108,0.28405099230859626,PSMC1 ,3
-4.576471588140754,0.5862465682382412,0.7812084555370192,VDAC2 ,3
-3.811686949556074,-0.2200143798097561,-0.576278294074126,RPS16 ,3
-2.942054406652843,-0.27479203626864307,-1.3923293583550562,RPL26 ,3
-6.119844026048098,1.3137925191407156,0.7638166195836487,SAR1A ,3
5.1857952168652846,1.8263628238882113,-0.7867638538015673,PDXK ,1
-2.952744201162568,1.2660700501340574,0.020308284843565054,LHX4 ,3
7.295488566863502,-1.0078626965895252,-1.456485454920282,UCHL3 ,4
-4.858320204163216,-0.8343102568028059,-0.9016234309852765,IMMT ,3
-2.1410076024117908,0.15007625854432932,-0.3377013072621347,EIF2S2 ,3
3.3587722875499906,0.2751466688258846,-0.5637775186828209,RAB39B ,1
2.3551979170174477,1.0022226228068387,0.1332880516857486,PREP ,1
-0.943471190455513,0.7047663400116925,-0.19126013784625914,IARS1 ,5
2.7471040683822903,-0.0020026558970767504,0.0181597026078811,ETHE1 ,1
-2.0847668866555553,-0.08445233428107493,-0.7299591561459194,PRMT1 ,3
-2.7612302137403852,0.6536359004071252,-0.7875298250507838,DDT ,3
6.533592261451713,-1.5481027101310385,0.21317598334676602,DHX9 ,4
4.24911538033223,-0.11811071665972124,-0.05768464577913951,EIF3CL ,1
3.528613460684056,1.723841113602928,-0.49670778949933686,SARS1 ,1
3.6167777530351364,0.5850283589733143,0.5815810034811291,UQCRC2 ,1
3.227044190889011,1.7072755150959504,-0.7028523151718169,ACTA2 ,1
-3.2673936879152365,1.3586616758530765,-0.8922607343501324,C1QTNF4 ,3
3.5837880668200834,1.7482686370174763,-0.654241954432598,PPP2R2B ,1
3.420723421725999,1.517244977150081,-1.0731779543402309,NASP ,1
1.8994825274473521,0.6211977654914603,-0.4238151037833271,RPS15 ,1
-3.669476805188599,1.4263118020290484,-0.6354769667241722,TBX21 ,3
2.889287540271944,0.45606810440076756,0.30164592128406015,OAT ,1
-1.332129096062523,0.4410868382642119,-0.6457734274336538,LGALS3 ,5
4.035542910044114,-0.5449351562109319,-1.2121057105348765,PFKM ,1
2.640078457950754,0.08089483612495325,-1.1178199315733004,MCM3 ,1
