PC 1,PC 2,PC 3,Ratio,Cluster
-0.08188963740849178,0.4759036557785475,0.11844543036278728,RPLP2,2
2.265957374783013,-0.032472763569021505,0.125010939287989,ADIRF,0
1.6680927732840791,0.3723311638740242,0.2564606494043543,TPI1,0
1.5529275818493713,0.21990133560920275,-0.012075177293159354,PFN1,0
-0.3100620590534143,-0.1269393830732043,-0.07171884624616945,ANXA2,2
-0.35661673013480044,0.2064115966048889,-0.19737968737992442,PKM,2
-2.5155021708715357,0.23234116625822174,0.4792478027063812,HIST2H2AC,1
-2.1944432276154515,0.5725021910811724,-0.30609937458525044,KRT7,5
5.496416299121908,-0.13254559578178582,0.2714188727887295,HSPE1,3
1.0844869587782024,0.1275233028721264,0.17394492010851045,YWHAZ,0
1.2327303898616249,0.059038091086430364,-0.09901846132143702,PPIA,0
3.9912608239623166,0.6870445298853172,0.09370624760216387,UBC,3
0.4287772027681515,0.7271781387787783,0.19520099042048314,HIST1H2BK,2
-1.2180375710037632,-0.09553090415284687,-0.0027077683428656093,ACTB,5
-1.2056318148286282,-0.2201083012098939,-0.2524570307849181,ACTG1,5
-0.03592760252342547,0.8072092970604726,0.22857761852199004,HIST1H2BJ,2
0.9113730581252317,0.2553169249872822,0.3773549771831158,CFL1,0
0.028108830042553226,-0.2660235706485156,-0.27162683211212,PHB,2
-1.0889450809300891,0.9483883231334742,-0.12203251514317996,KRT6A,2
0.6706257487261095,0.5983682453005924,0.39727797868878195,PRDX5,2
0.22744941003939834,-0.11598947284321819,0.04813594631242301,S100A6,2
0.48444587403207584,-0.10467397429543221,0.54997172124647,GSTP1,2
-0.16741559618607907,-0.2865627325562263,0.17749319153651735,YWHAE,2
-2.7049811596663678,0.9787134129257395,-0.050147140345595746,KRT8,1
1.6094088717510033,0.4880819291707269,-0.11149209822011279,RPS12,0
-1.358451895578245,0.2780108672160262,-0.4527111476036832,GAPDH,5
1.051340564354922,0.31276124730790383,0.1896691296168398,RPS19,0
12.665941943308388,-1.6930729197521406,0.2046087030769074,HIST1H4A,4
-1.675893998540985,1.330493722679541,0.13082724877229054,KRT13,2
-0.6910798328696041,-0.497972711299881,-0.46597157290319946,PRDX6,5
0.6292279282527482,-0.38546375697465085,0.11043171767688016,YWHAB,0
0.5052924780440311,0.8459501957960313,-0.29843876257811525,ENO1,2
-0.8463301415160067,2.5656773102356456,0.6789137695113114,KRT19,2
-0.5218631962795257,0.1901958317722164,0.23213210433367598,TUBA1C,2
-0.03410248667371479,-0.028110518295330945,0.06136286762734258,PRDX1,2
-1.351691636861419,-0.8120936742998544,-0.2776206806289801,RPS3,5
0.5647149875107963,-0.5039409552788583,-0.12017545582006413,TPM4,0
3.6334504386010833,0.7887806938757829,-0.06699182995778305,HIST1H1B,3
0.6807109144120072,-0.14050840878550902,0.0374536347887961,TAGLN2,0
-0.46967538159076694,-1.0177911515641602,-0.376897709665238,ANXA1,5
1.7124012537822784,0.7392895723916326,0.2728829761161917,S100A11,0
0.15369867433607867,-0.10578935786741749,-0.02918463472179226,TUBB,2
-0.5927018311572522,0.2285573468678236,0.6132917557052407,PTMA,2
-0.6402878925993153,-1.4552450232309162,-1.1776883338141235,LSM3,5
-0.7766798180470783,-0.4536171828034281,-0.579622871572633,RPS8,5
0.12621672135266432,0.866702305746177,0.6691542939180292,MYL6,2
1.8993993993209304,0.78160403095932,-0.30434495180880006,TXN,0
0.18431456052150316,-0.7218276625443163,-0.04176861540912901,YWHAQ,5
-0.9746170723365857,-0.36537680409783535,0.07181523572848436,RPS21,5
-0.9630916508396833,-0.9919407815781974,0.09524979707749716,RPL30,5
-0.3508954302100267,-0.21420083994045888,-0.14440248461891086,PDLIM1,5
3.2265129540995727,0.4399225014365885,-0.19952738310421467,HIST1H1C,0
-0.6088189025991297,-1.2771348987380784,-0.686110415773842,TUBB4B,5
-1.3611015144990937,-1.2096934407451445,-0.23413367246339675,MYL12A,5
-1.2683111376438623,0.6598809306476098,-0.17810152594318335,KRT5,2
0.18842669763482892,-1.1444927507492009,-0.22489445825586624,SFN,5
1.3177271810081894,0.6637747509850035,-0.5425282707983313,SERPINB5,0
-0.14983657137806433,-0.23189792688711655,-0.3250089574238538,RPL18,5
1.670294481319226,-0.0704114235369565,-0.10252163667289257,NME2,0
0.21970775359329237,-0.0812494010440096,0.2576509476206335,PHB2,2
3.3738174691881504,0.518099689332302,-0.0816463581923536,EIF5A,0
3.5446816470308833,0.5924887097957887,0.32468581155291004,CYCS,3
0.0321265950333862,0.4302616036394129,-0.3694539130438323,LDHB,2
-0.6950770354524161,-0.6628995747707719,-0.4710540872905727,PRDX2,5
-0.42013125869935597,0.6973255598380637,1.2544115635996849,CALM1,2
-0.9381069185996389,-0.07319169747192285,0.224393118721174,TUBA4A,5
0.7488936607482327,0.6305066725246325,-0.3919760895104638,VCP,0
-1.3065061860220413,2.804027993709443,0.8490261225041797,KRT18,2
-0.4382588729804369,0.18649765759475154,-0.244367397717334,ANXA4,2
0.7953964939714222,-0.8167292566452574,-0.507272055272131,CLIC1,0
2.561085232850931,0.5589184875112035,-0.5817728036692842,RPL23,0
-0.6367018413609034,-0.32706503004412246,0.0011874297816618445,HSPA8,5
-1.051519743764497,-0.38357266534602247,-0.1261626858027114,RPS9,5
1.7039374635296185,0.06622097555506617,-0.05615994642294829,HSPA5,0
3.125071695618756,0.16426406646967723,0.5867320464801166,BOLA2,0
3.305424790880986,0.4773401357698201,-0.19666871033015007,HIST1H1E,0
-1.0274876691919734,-1.2240731643641247,-0.4672162282588363,ANXA5,5
