,1,2,3,4,5,6,7,8,9
RPS8,-0.217591435,0.133563526,0.008630305,-0.40545145,-0.329159664,-0.144010303,-0.174621396,0.217851097,0.074505436
MYL6,0.32308179,-0.169744676,-0.033569533,0.408168371,0.004321606,0.018634174,0.255802837,-0.06340917,-0.081613766
TXN,0.42867841,0.538041453,0.094911647,0.605968359,0.669933836,0.230203013,0.408168371,0.389566812,-0.020340448
YWHAQ,-0.095419565,0.092207438,0.160920188,-0.118726939,0.082702589,0.191562651,-0.098505545,0.12035194,0.207892852
RPS21,-0.291592017,-0.194294815,-0.095419565,-0.174621396,-0.074000581,0.039840265,-0.232768963,-0.131313235,-0.017417053
RPL30,-0.320125852,-0.051399153,0.138814469,-0.325539348,-0.128156351,0.119024103,-0.442222329,-0.234465254,0.005759269
PDLIM1,-0.152003093,-0.001443417,0.004321606,-0.103146927,0.111031312,0.027154052,-0.077041036,-0.01887801,0.005759269
HIST1H1C,0.659011171,0.721591399,0.362890643,0.704871964,0.730313886,0.380729449,0.692427198,0.711054322,0.35614381
TUBB4B,-0.401634795,0.142740172,0.09085343,-0.556393349,0.071762669,0.067638717,-0.415037499,0.077242999,0.192825404
MYL12A,-0.597277823,-0.153606979,0.011495639,-0.479954976,-0.013043037,0.124328135,-0.54793177,-0.18606493,-0.035046947
KRT5,-0.078563669,-0.219269964,-0.272297327,-0.158429363,-0.217591435,-0.327348371,0.031395196,-0.072482754,-0.144010303
SFN,-0.274040765,0.126972856,0.286881148,-0.202571918,0.109694865,0.200378798,-0.190997225,0.186500558,0.250961574
SERPINB5,0.453122447,0.478195258,0.066261442,0.291603558,0.348232419,-0.046921047,0.311503115,0.42867841,0.136191386
RPL18,-0.057391664,0.12035194,0.094911647,-0.117161344,0.062121712,-0.064917477,-0.092340172,0.086783766,0.077242999
NME2,0.324234562,0.377401431,0.27857955,0.273814245,0.388465097,0.254594043,0.320773477,0.411426246,0.25821739
PHB2,0.111031312,0.028569152,0.12035194,0.048236186,-0.03209363,0.074505436,0.129612738,0.049630768,0.15704371
EIF5A,0.660837368,0.691534165,0.348232419,0.760433875,0.704871964,0.397255346,0.827819025,0.743299528,0.420078116
